,District,Per Student Funding Gap,Total Funding Gap,Total Allocated Funds,Post Allocation Gap,Enrollment Size
1252,SAN JOSE UNIFIED,-2598.013,-74900714.78999999,94555.11956461612,-2594.7332525298434,28830
842,FONTANA UNIFIED,-2255.615,-81563038.39999999,98670.82624865354,-2252.8862713979906,36160
885,GROSSMONT UNION HIGH,-4864.863,-81676184.907,98739.24198200858,-4858.981813390791,16789
703,CAJON VALLEY UNION,-5065.064,-83163285.816,99634.07359980924,-5058.995781862488,16419
1154,PARAMOUNT UNIFIED,-5807.242,-83252621.312,99687.5735921044,-5800.28834670814,14336
920,INGLEWOOD UNIFIED,-9956.574,-83675047.896,99940.16262689623,-9944.682024437543,8404
1206,RIALTO UNIFIED,-3389.871,-85377291.006,100951.61064257268,-3385.8627569029395,25186
1388,VICTOR VALLEY UNION HIGH,-7927.072,-85770919.04,101184.05938273697,-7917.720423347252,10820
1275,SANTA MARIA-BONITA,-5130.668,-87010998.61199999,101912.89615154413,-5124.658630570697,16959
1358,TRACY JOINT UNIFIED,-5981.813,-87023415.524,101920.16763641547,-5974.807214487461,14548
622,ALVORD UNIFIED,-4857.463,-88260102.71,102641.80513346796,-4851.814028886435,18170
971,LANCASTER ELEMENTARY,-6188.096,-88687791.872,102890.19446091224,-6180.916946521008,14332
1143,PAJARO VALLEY UNIFIED,-4859.791,-93546116.959,105670.7888356663,-4854.301323194158,19249
630,ANTIOCH UNIFIED,-5982.557,-97473801.20099999,107866.35871049523,-5975.936588859602,16293
748,COACHELLA VALLEY UNIFIED,-5599.904,-98877504.928,108640.26504143495,-5593.75118440044,17657
1146,PALMDALE ELEMENTARY,-5435.4,-99081906.6,108752.49879660195,-5429.434094092017,18229
624,ANAHEIM ELEMENTARY,-6094.049,-99783958.326,109137.10539908035,-6087.383731562289,16374
741,CHULA VISTA ELEMENTARY,-3465.609,-101265094.98,109944.10650331268,-3461.8463680183672,29220
613,ALISAL UNION,-12027.09,-102518915.16,110622.65255473313,-12014.112213449704,8524
625,ANAHEIM UNION HIGH,-3465.262,-103375695.98400001,111083.94384744289,-3461.538349428552,29832
905,HESPERIA UNIFIED,-4712.463,-103956933.78,111395.7951159815,-4707.41332660399,22060
1135,OXNARD,-6781.58,-106674253.4,112842.28530234868,-6774.406300997944,15730
759,COMPTON UNIFIED,-5499.975,-112199490.0,115727.74969377616,-5494.3020710934425,20400
705,CALEXICO UNIFIED,-12804.89,-114885473.08,117104.78079224398,-12791.837750691902,8972
1247,SAN DIEGO UNIFIED,-1133.062,-115878250.74,117609.67024763086,-1131.9120081133506,102270
999,LODI UNIFIED,-4049.293,-115915061.418,117628.34911061861,-4045.183856245699,28626
1027,MANTECA UNIFIED,-5044.998,-120242482.33199999,119803.92144745118,-5039.971402641291,23834
1330,STOCKTON UNIFIED,-3476.543,-130575478.537,124845.49627515448,-3473.219016500036,37559
1064,MONTEBELLO UNIFIED,-5431.381,-132368186.35100001,125699.59436030046,-5426.223247164241,24371
1253,SAN JUAN UNIFIED,-3336.402,-132588615.48,125804.21287618479,-3333.2363177434277,39740
801,EAST SIDE UNION HIGH,-5888.824,-132946090.624,125973.69050185411,-5883.244017252752,22576
629,ANTELOPE VALLEY UNION HIGH,-6587.041,-143307663.996,130790.67326921038,-6581.029294113385,21756
1244,SAN BERNARDINO CITY UNIFIED,-2944.047,-143537011.485,130895.28916958092,-2941.362243786902,48755
1235,SACRAMENTO CITY UNIFIED,-3541.125,-149548791.0,133608.32523631197,-3537.9613249375757,42232
1406,WEST CONTRA COSTA UNIFIED,-5379.127,-151938821.242,134671.73132121336,-5374.359183979282,28246
814,ELK GROVE UNIFIED,-2435.766,-155060863.56,136048.31464572786,-2433.6288916957947,63660
1270,SANTA ANA UNIFIED,-3512.156,-160070021.856,138228.3325390828,-3509.1230806446574,45576
856,FRESNO UNIFIED,-2349.969,-167470540.785,141387.58560940897,-2347.985030511339,71265
643,BAKERSFIELD CITY,-5497.398,-169281376.614,142149.93258055422,-5492.781693288067,30793
1371,TWIN RIVERS UNIFIED,-6850.633,-173595040.22,143949.68650302125,-6844.952270461601,25340
941,KERN HIGH,-4277.221,-177295087.67099997,145475.68752500345,-4273.711417902463,41451
862,GARDEN GROVE UNIFIED,-4612.748,-191073860.40399998,151022.86540885773,-4609.1021301835,41423
1117,OAKLAND UNIFIED,-5704.203,-206229755.26200002,156898.1165391013,-5699.863283328565,36154
1343,SWEETWATER UNION HIGH,-5664.01,-218364577.53,161448.18307847026,-5659.822305577297,38553
1004,LONG BEACH UNIFIED,-3674.494,-263505313.72800002,177352.27170020624,-3672.020881530285,71712
1008,LOS ANGELES UNIFIED,-1938.1,-936555815.4,334355.8294306771,-1937.4080871183926,483234
